Name,Price,Delivery_Charge,URL
X515EA-BQ040 (중복7만 최종50.9만) ASUS 가성비노트북 인텔 i5-1135G 8GB NVMe 256GB 프리도스 ,"579,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2224763862
,,,
M3500QA-L1073 기간한정 최대 66만 삼성 OLED 세잔 R5 ,"749,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2039520914
X513EA-BQ031 중복7만|최종56만|i5-11세대 인기노트북 ,"639,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2344068836
FX706HCB-HX144 특가 97만 512GB 8GB RTX3050 게이밍 ,"1,049,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2389020515
LG그램 2022 신제품 17ZD95P-GX76K 162만초특가 노트북 ,"1,740,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2284206179
노트북 플러스2 NT550XDZ-AD5A 가성비 노트북 최종61만 ,"739,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
FX706HEB-HX113 특가 102만 RTX3050Ti 게이밍노트북 ,"1,099,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
17s-cu0015TU 노트북 17형 대화면 가성비 사무용 ,"749,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
삼성전자 노트북 플러스2 NT550XDZ-AD3A 최종 54만 ,"659,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
삼성 갤럭시 북 NT750XDZ-AM58S 미스틱 실버 ,"750,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
,,,
갤럭시북 프로 NT950XDX-G51A 인텔i5 16GB ,"1,499,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
,,,
Victus 16-e0140AX 노트북 최종82만/한컴/R5/RTX3050 ,"965,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
갤럭시북 NT750XDZ-A51A 1.55kg 대학생 추천 최종 83만 ,"999,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
Gaming 3i 15IMH I5 LEGEND PRO DOS/게이밍/최종 69만 ,"806,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
노트북 플러스2 NT550XDZ-AD5A WIN10 RAM 16GB - FC ,"846,510",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
ThinkPad E14 ITL 20TAS01700 300NIT 최대15%할인 DOS ,"849,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
Slim3-15ITL 5D 그레이 WIN10 16GB램 마우스 ,"746,990",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
파빌리온 Aero 13-be0143AU 특가67만 R5 초경량노트북 ,"799,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2330388928
