Name,Price,Deliver_Charge,URL
X515EA-BQ040 (중복7만 최종50.9만) ASUS 가성비노트북 인텔 i5-1135G 8GB NVMe 256GB 프리도스 ,"579,000",,http://item.gmarket.co.kr/Item?goodscode=2375815018
M3500QA-L1073 중복 8만 카드 3만 최종63만 삼성 OLED ,"749,000",,http://item.gmarket.co.kr/Item?goodscode=2389963658
,,,
X513EA-BQ031 중복7만|최종56만|i5-11세대 인기노트북 ,"639,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
LG그램 2022 신제품 17ZD95P-GX76K 153만초특가 노트북 ,"1,740,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
삼성 갤럭시 북 NT750XDZ-AM58S 미스틱 실버 ,"750,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
17s-cu0015TU 노트북 17형 대화면 가성비 사무용 ,"749,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
노트북 플러스2 NT550XDZ-AD5A 가성비 노트북 최종61만 ,"739,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
삼성전자 노트북 플러스2 NT550XDZ-AD3A 최종 54만 ,"659,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
갤럭시북 NT750XDZ-A51A 1.55kg 대학생 추천 최종 83만 ,"999,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
Gaming 3i 15IMH I5 LEGEND PRO DOS/게이밍/최종 69만 ,"806,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
ASUS K3500PC-KJ153 104만/i5-11300H/16G/256G/3050 ,"1,099,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
노트북 플러스2 NT550XDZ-AD5A WIN10 RAM 16GB - FC ,"846,350",,http://item.gmarket.co.kr/Item?goodscode=1849912134
,,,
갤럭시북 프로 NT950XDX-G51A 인텔i5 16GB ,"1,499,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
ASUS노트북 FX707ZC-HX035 12th코어i7/DDR5 8G/RTX3050 ,"1,399,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
노트북 무상더블UP 레노버 ThinkPad X260 8G SSD 윈10 ,"299,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
,,,
게이밍 FX517ZR-HQ009 특가196만 RTX3070/인텔12세대i7 ,"2,049,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
,,,
V15 GEN2-82KD000UKR 45만 AMD 루시엔 R5 NVME 256GB ,"478,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
ASUS ROG G713RM-KH053 라이젠 5세대+주사율360Hz ,"1,699,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
,,,
아이디어패드 SSD256+HDD1TB 무상UP 최종53만 L3-15ITL ,"567,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
LG전자 LG그램 15ZD95P-GX56K / 재고보유 / 당일발송 ,"1,440,700",,http://item.gmarket.co.kr/Item?goodscode=1849912134
nf/ 삼성 NT950XDY-A51A(실버) 윈도우10 설치 ,"1,289,500",,http://item.gmarket.co.kr/Item?goodscode=1849912134
,,,
,,,
LG 그램360 12세대 노트북 16TD90Q-GX70K i7 고성능 ,"2,199,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
,,,
LG그램 12세대 17ZD90Q-GX56K 대학생노트북 최종 193만 ,"1,999,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
Flow Z13 GZ301ZE-LC032W 특251만 12세대 i9/RTX3050Ti ,"2,599,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
V15 ADA AMD 라이젠5 82C700KMKR RAM8GB로 무상업/40만 ,"449,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
15Z95P-GA56K 램16GB+NVME512GB 노트북 ,"1,580,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
,,,
15UD40Q-GX50K 램8GB+NVME256GB 노트북 nana ,"802,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
갤럭시북2 프로 NT950XEE-X71A 단2일 특가203만 ,"2,249,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
ASUS 노트북 D515UA-BQ022 루시엔R5 /SSD256G/최종53만 ,"599,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
,,,
하이마트  삼성 갤럭시북 인텔 10세대 i7탑재 NT350XCR-A78MW ,"700,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
VICTUS 16-e0144AX 노트북 게이밍 RTX3050Ti ,"1,219,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
노트북 플러스2 NT550XDZ-AD1A 화이트 최종39만 가성비 ,"479,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
그램 16ZD90Q-GX5LK 노트북 22년 신제품 ,"1,899,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
LG그램 2022 신제품 15ZD95P-GX56K 120만초특가 노트북 ,"1,388,000",,http://item.gmarket.co.kr/Item?goodscode=1849912134
